/home/vscode/rebaseline/features/feat-role-decisions.md-367-|---|---|---|---|
/home/vscode/rebaseline/features/feat-role-decisions.md-368-| 1 | 2026-09-06 | update | Authored by the PO role alone in the feature-authoring draft step, from init-role-decisions's Framing and For whom sections (v8, planned), with sess-2026-09-05-d for the originator's words; eight scenarios, all owned by the lead shop per the initiative's Decomposition; interaction types none per its For whom; every scenario `@hash:pending` — the authoring session had no shell, so the lead-pm fills the values (sha256 of the scenario's text, first twelve hex digits, as in the repository's other features) before the check. Maker's self-check against the feature fitness set (v8), each scenario read as Given/When/Then: scenario 1 (one observable behavior) pass — each When is one action or event (a definition read, the role attaching, the check of record screening, the initiative reaching the bet, the authority reading, each role running its step), each Then observable in the running system, no step naming a data type, a typedef section, a prompt, or a route; scenario 2 (ownership and criteria) pass — an owning shop named for each of the eight; no interaction type is named, so the designer's criteria are not due at this step, and the Contributors section leaves what is due for the designer's and the architect's steps to record; scenario 3 (identity tags) pass on presence — `@feature:feat-role-decisions` and `@hash:pending` on every scenario, the hash values disclosed as pending; scenario 4 (edges) pass — fourteen rows, every case the framing's Problem, outcome, originator words, For whom, Appetite no-gos, and Decomposition name present, ten covered by scenario name, four out of scope with reasons; scenario 5 (interaction types) pass — "none" with the For whom section's reason; scenario 6 (narrative) pass — who (the four lead-shop roles; the authority at the bet and the lead-pm), what (offer complete information from the step's instruction alone; read it from the initiative), the outcome the framing's ("no bet rests on an unrecorded decision"). Status draft pending the PO output check. |
/home/vscode/rebaseline/features/feat-role-decisions.md-369-| 2 | 2026-09-06 | update | Designer's criteria added at the feature-authoring add-usability step, from the step's prompt with nothing added by the lead-pm: the Interaction types section says "none", so the Contributors section records that no usability or accessibility criteria are due, with the reason examined against the experience principle set v2 (`core-task-parity`, `accessible-by-standard`, `agent-is-a-user`, `evidence-not-opinion`) and the core-task list v4; the scenarios a usability test would invalidate named as none; no Edges rows added; no scenario text touched. Maker's self-check against the feature fitness set v8, the scenarios that concern this part: scenario 2 (ownership and criteria) pass — no type is named in the Interaction types section, so the designer's criteria are not required, and the Contributors section now states that with its reason rather than leaving it to a later step; scenario 4 (edges) pass — the contributor's criteria name no case, so the table gains no row and none is missing; scenario 5 (interaction types) pass — "none" with a reason the framing bears out: the framing's problem and outcome concern what a role offers and what the bet rests on, read inside the initiative check, and the For whom section's reason ("the attachment is read inside a process step; no core task carries it") holds against the list on examination, the one person-reading scenario reading an authored artifact that is no interaction type. Scenarios 1, 3, and 6 are the PO's part and were not re-judged here. |
/home/vscode/rebaseline/features/feat-role-decisions.md-370-| 3 | 2026-09-06 | update | Architect's constraints C1–C7 added at the feature-authoring add-constraints step, from the step's prompt with nothing added by the lead-pm: the initiative's Decomposition names no Bounded Context and no flow, so no cross-context constraint applies; what it names is a bound (the lead shop's tree; no contract), and the design decision the feature implements, adr-2026-09-05-role-offer (checked, v3), with the authority's rulings at the initiative's v7–v8, sets the constraints — one type, one home (C1); the typedef's section, then instances, then renders (C2); the obligation the role's and the activity's, the instruction unchanged (C3); the offer readable from the initiative alone (C4); a decision's record a decision record, the entry routable (C5); a missing part a named criterion's finding (C6); no Bounded Context bound (C7) — with the principles screen stated per principle. Fourteen Edges rows added and one amended (C7); no scenario text touched — the Gherkin block's sha256 before and after the edit is identical (407539f3…). Pre-state read: the feature repository in full (five features, no conflict, three touch-points named); contracts none. Maker's self-check against the feature fitness set v8, the scenarios that concern this part: scenario 2 (ownership and criteria) pass — the Contributors section says the decomposition names a bound and the design decision sets the constraints, and seven are present, each riding by name on the scenarios it bounds; scenario 4 (edges) pass — every failure or boundary case C1–C7 name has a row, each covered by a Scenario name or marked out of scope with its reason, and no earlier row was removed. Scenarios 1, 3, 5, and 6 are the PO's and the designer's parts and were not re-judged here. |
/home/vscode/rebaseline/features/feat-role-decisions.md-371-| 3 | 2026-09-06 | update | Hashes filled by the lead-pm on 2026-09-06 by the repository convention — sha256 of each scenario's text (its Scenario line and steps), first twelve hex digits — replacing the eight `@hash:pending` values the draft carried; scenario text unchanged. |
/home/vscode/rebaseline/features/feat-role-decisions.md-372-| 3 | 2026-09-06 | review | PO output check, the one screen (judge: claude-fable-5-1 / screen prompt v6): one confident — the Contributors sentence leaving the criteria "for the designer's and the architect's steps to record" stale once both were in; six wobbly, ruled by the PM role — the eighth scenario's Given and Then aggregating four roles in one run; the narrative's outcome clause naming the offer's home and the lead-pm beyond the framing's words; C2 carrying brief-030's ordering clause; C2 and C6 naming rendering tools; the Interaction types reason not in the framing's terms; the 4-of-4 count inside a scenario's Then. |
/home/vscode/rebaseline/features/feat-role-decisions.md-373-| 4 | 2026-09-06 | update | The one revise, all seven: the Contributors sentence in the past tense ("were recorded at their steps below"); the eighth scenario made per role — *a role offers on its decisions at its own step*: Given one of the four lead-shop roles at the step of its process where it acts on an initiative, given that step's instruction with nothing added by the lead-pm; When the role runs that step; Then it comes back with complete information on the decisions its definition names — a new scenario by hash (`@hash:pending`, the lead-pm fills it), the 4-of-4 aggregate moved to the Edges row *The target, 4 of 4*, and the ownership list, four Edges rows, and C2's and C3's "Rides on" lists renamed to it; the narrative's outcome clause in the framing's words — "and the authority at the bet can read that offer" — in §1 and the block head alike (the narrative is not hashed), the offer's home left to C4; the Interaction types reason restated in the framing's terms with the core-task list as provenance. Edits to the architect's passages on the PM role's ruling, substance unchanged: C2's brief-030 ordering clause cut and its Edges row removed, a one-line provenance note added outside the constraints; C2's "re-rendered by role-rendering, never edited in the rendered file" and C6's "re-produced from the definition by the rendering tool, never edited by hand" each restated as the what — "a rendered file is never the source; the definition is". Maker's self-check against the feature fitness set v8 after the revise: scenario 1 pass — the new eighth scenario has one Given, one When (the role runs that step), one observable Then, no count and no implementation detail; the other seven unchanged; scenario 2 pass — the ownership list names the lead shop for the renamed scenario; the designer's and architect's passages present and the sentence introducing them no longer defers them; scenario 3 pass on presence — `@feature:` on all eight, `@hash:` on all eight, one pending; scenario 4 pass — the brief-030 row removed with its constraint clause, so no case in the table lacks a source, and the four rows naming the eighth scenario name its new title; scenario 5 pass — "none" with a reason in the framing's terms; scenario 6 pass — who, what, and the outcome, the outcome's clause now the framing's words. |
/home/vscode/rebaseline/features/feat-role-decisions.md-374-| 5 | 2026-09-06 | state | `draft` → `checked`: the PM role's pass after the one screen and the one revise the process allows — the confident finding (a stale sentence) repaired; the wobbly ones ruled: the eighth scenario per role, the narrative in the framing's words, the tool names out of the constraints. The last hash filled by the lead-pm after the revise. |
/home/vscode/rebaseline/features/feat-role-decisions.md:375:| 6 | 2026-09-06 | state | `checked` → `assigned`: the scenario-assignment record step (process v12). One assignment entry — context shopsystem-product (the lead shop), scenarios @hash:aba312f2b1ae, @hash:d24c8e22069d, @hash:74a11c38f2ce, @hash:a66e2bd3cd35, @hash:2fef03c8cc09, @hash:c15c4d3bdff0, @hash:3ffc45cf66b9, @hash:a7aa73a0b41d — each tagged `@bounded-context:shopsystem-product`, the owning shop the Contributors section names for every scenario, and the decomposition's ruling — no Bounded Context touched; every amended definition in the lead shop's tree. Pre-state read from the lead shop's records: the role-definition typedef at v3 (two required sections, none naming a role's decisions) and its fitness set at v2, hand-written; the initiative typedef at v10 (§4 asking the verdict with reasons; the 500-word rule) and its fitness set at v4, hand-written, scenario 5 judging the verdict's presence alone; initiative-check at v7, its two attach steps outputting `initiative` only with the shape carried in their prompts; the data-type typedef at v3 with twelve types and none carrying an offer; the four role definitions at lead-pm v9, lead-po v13, lead-solutions-architect v10, lead-product-designer v2; adr-2026-09-05-role-offer at v3 (checked); the feature repository swept in full — five artifacts, this feature and the four assigned, no conflict: feat-request-routing specifies the recording and routing of asks and the lane, the two availability features checks over rendered role and process definitions, feat-typedef-rendering a type's produced texts, and no scenario of any names a role's decisions, an offer, an attachment, or the bet; the touch-points are the two reconcile scenarios (@hash:d707d4311bdf, @hash:26f78a3ca4a6), which carry the re-renders C2 and C6 rely on and contradict none, and feat-typedef-rendering, which binds produced texts only, the two fitness sets amended here being hand-written; no BC contract in the pre-state — the decomposition names no context and none exists on this branch. Implementation guidance written, one record for the one context: guidance/feat-role-decisions-shopsystem-product.md (v1, written) — the definitions and tools to change in order, with versions and invocations; maker's evaluation against the implementation-guidance fitness set v1, all five pass: at the architect's level (definitions, tools, and step ids named, no internals); cited never restated (hashes and versions only, the offer's parts pointed at in the ADR, not listed); actionable alone (every definition, tool, check, and order named; what is not in this assignment named as such); each thing not to do with its reason (ten entries, each to a principle, a constraint, a typedef's rule, or the bound); bound to one assignment (frontmatter and opening paragraph). Not sent. Sent: none — the owning shop is the lead shop itself; the freeze bars dispatch and no Bounded Context exists to receive; the gap stands as lead-ki66p. |
/home/vscode/rebaseline/features/feat-role-decisions.md-376-| 7 | 2026-09-06 | update | Delivered in the lead shop's own tree from the scenarios and guidance/feat-role-decisions-shopsystem-product.md alone: role-offer type v1 (scenarios 3, 4, 6; C1, C4, C5); role-definition typedef v4 and its fitness set v3, the four role definitions (scenarios 1, 2; C2); initiative-check v8 with one-sentence attach prompts outputting the type, skill re-rendered (scenario 3; C3, C6); initiative typedef v11, its fitness set v5 and guideline v5 (scenarios 5, 7; C4, C6); renders re-produced (C2, C6). Demonstrated: the definitions and renderings current at the load points; the attach prompt as one sentence. Not demonstrated by a run this session: scenario 8's four observations at their own steps under the changed definitions — the next initiative check, frame, and draft runs are where they are read. |
/home/vscode/rebaseline/features/feat-tool-skills.md-442-| Version | Date | Kind | Entry |
/home/vscode/rebaseline/features/feat-tool-skills.md-443-|---|---|---|---|
